idx	rule	top_form	top_yaml	level	block_form	block_yaml	level_keys_declared	level_defaults	live_exit	live_level_findings	live_level_severities	live_sibling_findings	live_refusal	call_level_values	call_level_enabled	call_sibling_enabled	call_refusal	block_written	block_effect	live_vs_block_absent	witness	in_declared_population
27	complexity.ccn	T1_threshold_value	threshold: 100000	callable	B7_full_band	callable:; warning: 1; error: 2	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	0	0	{}	0		{"enabled":true,"warning":100000,"error":100000}	True	False		{"warning":1,"error":2}	dropped	same (0)	live door (blind here) + call	yes
28	complexity.ccn	T1_threshold_value	threshold: 100000	callable	B8_threshold_in_block	callable:; threshold: 1	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	0	0	{}	0		{"enabled":true,"warning":100000,"error":100000}	True	False		{"warning":1,"error":1}	dropped	same (0)	live door (blind here) + call	yes
29	complexity.ccn	T1_threshold_value	threshold: 100000	callable	B9_unknown_key	callable:; no_such_option: 1	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	3	0	{}	0	Configuration error: Option "noSuchOption" is not an option of rule "complexity.ccn" at level "callable". Options at that level: enabled, error, thres	{}			Qualimetrix\Analysis\Configuration\Contract\Refusal\ConfigurationRefusal: Option "noSuchOption" is not an option of rule "complexity.ccn" at level "ca	{"no_such_option":1}	refused	refused	live door (refusal) + call	yes
30	complexity.ccn	T1_threshold_value	threshold: 100000	class	B0_absent	(absent)	enabled,max-error,max-warning,threshold	{"enabled":true,"maxWarning":30,"maxError":50}	0	0	{}	0		{"enabled":false,"maxWarning":30,"maxError":50}	False	True		{}	no-write	n/a (block writes nothing)	live door + call	yes
31	complexity.ccn	T1_threshold_value	threshold: 100000	class	B1_tilde	class: ~	enabled,max-error,max-warning,threshold	{"enabled":true,"maxWarning":30,"maxError":50}	0	0	{}	0		{"enabled":false,"maxWarning":30,"maxError":50}	False	True		{}	no-write	n/a (block writes nothing)	live door + call	yes
32	complexity.ccn	T1_threshold_value	threshold: 100000	class	B2_empty_map	class: {}	enabled,max-error,max-warning,threshold	{"enabled":true,"maxWarning":30,"maxError":50}	0	0	{}	0		{"enabled":false,"maxWarning":30,"maxError":50}	False	True		{}	no-write	n/a (block writes nothing)	live door + call	yes
33	complexity.ccn	T1_threshold_value	threshold: 100000	class	B3_enabled_tilde	class:; enabled: ~	enabled,max-error,max-warning,threshold	{"enabled":true,"maxWarning":30,"maxError":50}	0	0	{}	0		{"enabled":false,"maxWarning":30,"maxError":50}	False	True		{"enabled":"~(null)"}	dropped	same (0)	live door (blind here) + call	yes
34	complexity.ccn	T1_threshold_value	threshold: 100000	class	B4_enabled_true	class:; enabled: true	enabled,max-error,max-warning,threshold	{"enabled":true,"maxWarning":30,"maxError":50}	0	0	{}	0		{"enabled":false,"maxWarning":30,"maxError":50}	False	True		{"enabled":true}	dropped	same (0)	live door (blind here) + call	yes
35	complexity.ccn	T1_threshold_value	threshold: 100000	class	B5_enabled_false	class:; enabled: false	enabled,max-error,max-warning,threshold	{"enabled":true,"maxWarning":30,"maxError":50}	0	0	{}	0		{"enabled":false,"maxWarning":30,"maxError":50}	False	True		{"enabled":false}	applied	same (0)	live door (blind here) + call	yes
36	complexity.ccn	T1_threshold_value	threshold: 100000	class	B6_half_band	class:; max_warning: 1	enabled,max-error,max-warning,threshold	{"enabled":true,"maxWarning":30,"maxError":50}	0	0	{}	0		{"enabled":false,"maxWarning":30,"maxError":50}	False	True		{"maxWarning":1}	dropped	same (0)	live door (blind here) + call	yes
37	complexity.ccn	T1_threshold_value	threshold: 100000	class	B7_full_band	class:; max_warning: 1; max_error: 2	enabled,max-error,max-warning,threshold	{"enabled":true,"maxWarning":30,"maxError":50}	0	0	{}	0		{"enabled":false,"maxWarning":30,"maxError":50}	False	True		{"maxWarning":1,"maxError":2}	dropped	same (0)	live door (blind here) + call	yes
38	complexity.ccn	T1_threshold_value	threshold: 100000	class	B8_threshold_in_block	class:; threshold: 1	enabled,max-error,max-warning,threshold	{"enabled":true,"maxWarning":30,"maxError":50}	0	0	{}	0		{"enabled":false,"maxWarning":30,"maxError":50}	False	True		{"maxWarning":1,"maxError":1}	dropped	same (0)	live door (blind here) + call	yes
39	complexity.ccn	T1_threshold_value	threshold: 100000	class	B9_unknown_key	class:; no_such_option: 1	enabled,max-error,max-warning,threshold	{"enabled":true,"maxWarning":30,"maxError":50}	3	0	{}	0	Configuration error: Option "noSuchOption" is not an option of rule "complexity.ccn" at level "class". Options at that level: enabled, max-error, max-	{}			Qualimetrix\Analysis\Configuration\Contract\Refusal\ConfigurationRefusal: Option "noSuchOption" is not an option of rule "complexity.ccn" at level "cl	{"no_such_option":1}	refused	refused	live door (refusal) + call	yes
40	complexity.ccn	T2_threshold_tilde	threshold: ~	callable	B0_absent	(absent)	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	0	1	{"warning":1}	0		{"enabled":true,"warning":10,"error":20}	True	True		{}	no-write	n/a (block writes nothing)	live door + call	yes
41	complexity.ccn	T2_threshold_tilde	threshold: ~	callable	B1_tilde	callable: ~	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	0	1	{"warning":1}	0		{"enabled":true,"warning":10,"error":20}	True	True		{}	no-write	n/a (block writes nothing)	live door + call	yes
42	complexity.ccn	T2_threshold_tilde	threshold: ~	callable	B2_empty_map	callable: {}	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	0	1	{"warning":1}	0		{"enabled":true,"warning":10,"error":20}	True	True		{}	no-write	n/a (block writes nothing)	live door + call	yes
43	complexity.ccn	T2_threshold_tilde	threshold: ~	callable	B3_enabled_tilde	callable:; enabled: ~	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	0	1	{"warning":1}	0		{"enabled":true,"warning":10,"error":20}	True	True		{"enabled":"~(null)"}	applied	same (1)	live door (blind here) + call	yes
44	complexity.ccn	T2_threshold_tilde	threshold: ~	callable	B4_enabled_true	callable:; enabled: true	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	0	1	{"warning":1}	0		{"enabled":true,"warning":10,"error":20}	True	True		{"enabled":true}	applied	same (1)	live door (blind here) + call	yes
45	complexity.ccn	T2_threshold_tilde	threshold: ~	callable	B5_enabled_false	callable:; enabled: false	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	0	0	{}	0		{"enabled":false,"warning":10,"error":20}	False	True		{"enabled":false}	applied	differs (0 vs 1)	live door + call	yes
46	complexity.ccn	T2_threshold_tilde	threshold: ~	callable	B6_half_band	callable:; warning: 1	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	0	13	{"warning":13}	0		{"enabled":true,"warning":1,"error":20}	True	True		{"warning":1}	applied	differs (13 vs 1)	live door + call	yes
47	complexity.ccn	T2_threshold_tilde	threshold: ~	callable	B7_full_band	callable:; warning: 1; error: 2	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	2	13	{"warning":11,"error":2}	0		{"enabled":true,"warning":1,"error":2}	True	True		{"warning":1,"error":2}	applied	differs (13 vs 1)	live door + call	yes
48	complexity.ccn	T2_threshold_tilde	threshold: ~	callable	B8_threshold_in_block	callable:; threshold: 1	enabled,error,threshold,warning	{"enabled":true,"warning":10,"error":20}	2	13	{"error":13}	0		{"enabled":true,"warning":1,"error":1}	True	True		{"warning":1,"error":1}	applied	differs (13 vs 1)	live door + call	yes
