path	fqcn	kind	proposed_owner	proposed_status	consumers
src/Analysis/Configuration/Pipeline/ConfigurationStageInterface.php	Qualimetrix\Analysis\Configuration\Pipeline\ConfigurationStageInterface	interface	Analysis.Configuration	internal	[]
src/Analysis/Configuration/Pipeline/RuleNameValidator.php	Qualimetrix\Analysis\Configuration\Pipeline\RuleNameValidator	class	Analysis.Configuration	internal	[]
src/Analysis/Configuration/Pipeline/Stage/CliStage.php	Qualimetrix\Analysis\Configuration\Pipeline\Stage\CliStage	class	Analysis.Configuration	internal	[]
src/Analysis/Configuration/Pipeline/Stage/ComposerDiscoveryStage.php	Qualimetrix\Analysis\Configuration\Pipeline\Stage\ComposerDiscoveryStage	class	Analysis.Configuration	internal	[]
src/Analysis/Configuration/Pipeline/Stage/ConfigFileStage.php	Qualimetrix\Analysis\Configuration\Pipeline\Stage\ConfigFileStage	class	Analysis.Configuration	internal	[]
src/Analysis/Configuration/Pipeline/Stage/DefaultsStage.php	Qualimetrix\Analysis\Configuration\Pipeline\Stage\DefaultsStage	class	Analysis.Configuration	internal	[]
src/Analysis/Configuration/Pipeline/Stage/PresetStage.php	Qualimetrix\Analysis\Configuration\Pipeline\Stage\PresetStage	class	Analysis.Configuration	internal	[]
src/Analysis/Configuration/Preset/PresetResolver.php	Qualimetrix\Analysis\Configuration\Preset\PresetResolver	class	Analysis.Configuration	internal	[]
src/Analysis/Configuration/RetiredSuppressionOptions.php	Qualimetrix\Analysis\Configuration\RetiredSuppressionOptions	class	Analysis.Configuration	contract	"[{""owner"":""Analysis.Finding"",""source_fqcn"":""Qualimetrix\\Analysis\\Finding\\RuleConfiguration\\RuleOptionsFactory""},{""owner"":""Analysis.Finding"",""source_fqcn"":""Qualimetrix\\Analysis\\Finding\\RuleConfiguration\\RuleOptionsParser""},{""owner"":""Infrastructure.Console"",""source_fqcn"":""Qualimetrix\\Infrastructure\\Console\\Command\\CheckCommand""}]"
src/Analysis/Configuration/SelectorYamlDecoder.php	Qualimetrix\Analysis\Configuration\SelectorYamlDecoder	class	Analysis.Configuration	contract	"[{""owner"":""Analysis.Run"",""source_fqcn"":""Qualimetrix\\Analysis\\Run\\Configuration\\RunConfigurationResolver""},{""owner"":""Reporting"",""source_fqcn"":""Qualimetrix\\Reporting\\FindingProjection\\Configuration\\ConfiguredFindingExclusionsResolver""}]"
src/Analysis/Evidence/CircularDependency/CircularDependencyAnalysis.php	Qualimetrix\Analysis\Evidence\CircularDependency\CircularDependencyAnalysis	class	Analysis.Evidence.CircularDependency	internal	[]
src/Analysis/Evidence/CircularDependency/CircularDependencyDetector.php	Qualimetrix\Analysis\Evidence\CircularDependency\CircularDependencyDetector	class	Analysis.Evidence.CircularDependency	internal	[]
src/Analysis/Evidence/CircularDependency/CircularDependencyOptions.php	Qualimetrix\Analysis\Evidence\CircularDependency\CircularDependencyOptions	class	Analysis.Evidence.CircularDependency	internal	[]
src/Analysis/Evidence/CircularDependency/CircularDependencyRule.php	Qualimetrix\Analysis\Evidence\CircularDependency\CircularDependencyRule	class	Analysis.Evidence.CircularDependency	internal	[]
